ΑΦΜ,Επωνυμία,Διακριτικός Τίτλος,Νομική Μορφή,ΦΕΚ,ΦΕΚ Ανανέωσης,Διάρκεια Πιστοποίησης Έως,Ηλικιακή Ομάδα,Υπηρεσίες,Δομές
090191080,ΦΙΛΑΝΘΡΩΠΙΚΟΣ ΣΥΛΛΟΓΟΣ Η ΑΓΚΑΛΙΑ,Η ΑΓΚΑΛΙΑ,Σωματείο – Σύλλογος,Β' 2814,,06/06/2029,"Κάτω των 5 ετών, Μεταξύ 6 - 12 ετών, Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών","Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Ενημέρωση/πληροφόρηση,Νομική βοήθεια,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Συμβουλευτική στήριξη,Υλική βοήθεια (είδος και χρήμα),Φιλοξενία,Φροντίδα – δημιουργική απασχόληση (Κ.Δ.Α.Π. Α.μεΑ. & βρεφονηπιακοί σταθμοί & κ.α.),Ψυχολογική υποστήριξη","Χώρος στέγασης μητέρας και παιδιού της Αγκαλιάς,ΚΕΝΤΡΟ ΦΡΟΝΤΙΔΑΣ ΜΗΤΕΡΑΣ ΚΑΙ ΠΑΙΔΙΟΥ"
090169649,ΜΕΡΙΜΝΑ ΕΤΑΙΡΙΑ ΓΙΑ ΤΗ ΦΡΟΝΤΙΔΑ ΠΑΙΔΙΩΝ ΚΑΙ ΟΙΚΟΓΕΝΕΙΩΝ ΣΤΗΝ ΑΡΡΩΣΤΙΑ ΚΑΙ ΣΤΟ ΘΑΝΑΤΟ,-,Αστική μη Κερδοσκοπική Εταιρεία,Β΄5924,,24/10/2028,"Κάτω των 5 ετών, Μεταξύ 6 - 12 ετών, Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών","Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Συμβουλευτική στήριξη,Φροντίδα στο σπίτι,Ψυχολογική υποστήριξη","Συμβουλευτικό Κέντρο Στήριξης στο Πένθος,Τηλεφωνική γραμμή στήριξης στο Πένθος "
999008944,ΕΛΛΗΝΙΚΗ ΟΜΑΔΑ ΔΙΑΣΩΣΗΣ  (Ε.Ο.Δ)-ΠΑΡΑΡΤΗΜΑ  ΑΡΓΟΛΙΔΑΣ,-,Σωματείο – Σύλλογος,Β΄4789,,09/09/2029,Γενικός Πληθυσμός,"Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες)",ΕΛΛΗΝΙΚΗ ΟΜΑΔΑ ΔΙΑΣΩΣΗΣ ΠΑΡΑΡΤΗΜΑ ΑΡΓΟΛΙΔΑΣ
090157800,ΣΥΝΔΕΣΜΟΣ ΠΡΟΣΤΑΣΙΑΣ ΠΑΙΔΙΩΝ ΚΑΙ ΑμΕΑ,-,Σωματείο – Σύλλογος,Β' 768,,21/02/2029,Γενικός Πληθυσμός,"Διανυκτέρευση,Εργοθεραπεία,Κατασκήνωση,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα ατομικής υγιεινής,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","ΚΕΝΤΡΟ ΔΙΗΜΕΡΕΥΣΗΣ ΚΑΙ ΗΜΕΡΗΣΙΑΣ ΦΡΟΝΤΙΔΑΣ ΓΙΑ ΑΤΟΜΑ ΜΕ ΝΟΗΤΙΚΗ ΥΣΤΕΡΗΣΗ ,ΣΥΔ1 ΣΤΗΡΙΞΗ,ΣΥΔ2 ΣΤΗΡΙΞΗ,ΣΥΔ3 ΣΤΗΡΙΞΗ,ΣΥΔ4 ΣΤΗΡΙΞΗ,ΣΥΔ5 ΣΤΗΡΙΞΗ,ΣΥΔ6 ΣΤΗΡΙΞΗ,ΣΥΔ ΣΤΗΡΙΞΗ 7,ΣΥΔ ΣΤΗΡΙΞΗ 8,ΚΕΝΤΡΟ ΔΙΗΜΕΡΕΥΣΗΣ ΚΑΙ ΗΜΕΡΗΣΙΑΣ ΦΡΟΝΤΙΔΑΣ ΓΙΑ ΑΤΟΜΑ ΜΕ ΕΙΔΙΚΕΣ ΑΝΑΓΚΕΣ ΝΟΗΤΙΚΗ ΥΣΤΕΡΗΣΗ,ΣΤΕΓΗ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗΣ ΔΙΑΒΙΩΣΗΣ 4 ΑΤΟΜΩΝ ,ΣΤΕΓΗ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗΣ ΔΙΑΒΙΩΣΗΣ 8 ΑΤΟΜΩΝ ,ΣΤΕΓΗ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗΣ ΔΙΑΒΙΩΣΗΣ 2 ΑΤΟΜΩΝ ΜΕ ΝΟΗΤΙΚΗ ΥΣΤΕΡΗΣΗ"
090160053,"Πανελλήνιος Σύλλογος Γονέων, Κηδεμόνων και Φίλων Ατόμων με Προβλήματα Όρασης και Πρόσθετες Αναπηρίες ""Η ΑΜΥΜΩΝΗ""",-,Σωματείο – Σύλλογος,Β΄1385,,21/03/2029,"Κάτω των 5 ετών, Μεταξύ 6 - 12 ετών, Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών","Διανυκτέρευση,Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Εργοθεραπεία,Λογοθεραπεία,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα ατομικής υγιεινής,Φροντίδα στο σπίτι,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","ΙΡΙΔΑ,ΛΙΛΙΑΝ ΒΟΥΔΟΥΡΗ,ΠΡΩΙΜΗ ΠΑΡΕΜΒΑΣΗ"
998748383,"ΣΥΛΛΟΓΟΣ ΓΟΝΕΩΝ ,ΚΗΔΕΜΟΝΩΝ ΚΑΙ ΦΙΛΩΝ ΑΤΟΜΩΝ ΜΕ ΑΥΤΙΣΜΟ Ν. ΣΕΡΡΩΝ <<Η ΗΛΙΑΧΤΙΔΑ>> ",-,Σωματείο – Σύλλογος,Β'5924,,24/10/2028,"Μεταξύ 6 - 12 ετών, Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών","Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Επαγγελματική κατάρτιση,Εργοθεραπεία,Κατασκήνωση,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Συμβουλευτική στήριξη","Κέντρο Δημιουργικής Απασχόλησης Παιδιών με Αναπηρία(ΚΔΑΠΜΕΑ) "
090077767,"Σύλλογος Γονέων Κηδεμόνων και Φίλων Ατόμων με Αναπηρία ""ΤΟ ΕΡΓΑΣΤΗΡΙ""",-,Σωματείο – Σύλλογος,β' 2814,,06/06/2029,"Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών","Διανυκτέρευση,Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Επαγγελματική κατάρτιση,Επαγγελματικός προσανατολισμός,Εργοθεραπεία,Κατασκήνωση,Λογοθεραπεία,Νομική βοήθεια,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Τοποθέτηση σε θέσεις εργασίας,Φαρμακευτική φροντίδα,Φροντίδα ατομικής υγιεινής,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","Κέντρο Διημέρευσης Ημερήσιας Φροντίδας για άτομα με νοητική υστέρηση,Στέγη Υποστηριζόμενης Διαβίωσης (Σ.Υ.Δ.) - Οικοτροφείο Ατόμων με Αναπηρία που χαρακτηρίζονται από νοητική υστέρηση"" Η ΦΡΟΝΤΙΔΑ"" ,Στέγη Υποστηριζόμενης Διαβίωσης (Σ.Υ.Δ.) - Οικοτροφείο Ατόμων με Αναπηρία που χαρακτηρίζονται από νοητική υστέρηση ""Φροντίδα 2"",Στέγη Υποστηριζόμενης Διαβίωσης (Σ.Υ.Δ.) - Οικοτροφείο Ατόμων με Αναπηρία που χαρακτηρίζονται από νοητική υστέρηση ""Φροντίδα 3"",Στέγη Υποστηριζόμενης Διαβίωσης Ατόμων με Αναπηρία που χαρακτηρίζονται από νοητική υστέρηση (Σ.Υ.Δ. ΑμεΑ) - Οικοτροφείο "" Η ΦΡΟΝΤΙΔΑ 4"",Στέγη Υποστηριζόμενης Διαβίωσης Ατόμων με Αναπηρία που χαρακτηρίζονται από νοητική υστέρηση (Σ.Υ.Δ. ΑμεΑ) - Οικοτροφείο "" Η ΦΡΟΝΤΙΔΑ 5"""
999619595,ΦΙΛΑΝΘΡΩΠΙΚΟΣ ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΟΣ ΣΥΛΛΟΓΟΣ ΦΙΛΩΝ ΚΕΝΤΡΟΥ ΜΕΡΙΜΝΑΣ ΑΤΟΜΩΝ ΕΙΔΙΚΩΝ ΔΕΞΙΟΤΗΤΩΝ ΔΗΜΟΥ ΒΕΡΟΙΑΣ,-,Σωματείο – Σύλλογος,Β΄5924,,24/10/2028,"Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών","Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Επαγγελματικός προσανατολισμός,Εργοθεραπεία,Λογοθεραπεία,Νομική βοήθεια,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Υλική βοήθεια (είδος και χρήμα),Φαρμακευτική φροντίδα,Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχολογική υποστήριξη",ΦΙΛΑΝΘΡΩΠΙΚΟΣ ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΟΣ ΣΥΛΛΟΓΟΣ ΦΙΛΩΝ ΚΕΝΤΡΟΥ ΜΕΡΙΜΝΑΣ ΑΤΟΜΩΝ ΕΙΔΙΚΩΝ ΔΕΞΙΟΤΗΤΩΝ ΔΗΜΟΥ ΒΕΡΟΙΑΣ
998682760,"""ΣΥΖΩΗ"" ΣΥΛΛΟΓΟΣ ΓΟΝΕΩΝ, ΚΗΔΕΜΟΝΩΝ ΚΑΙ ΦΙΛΩΝ ΑΤΟΜΩΝ ΜΕ ΔΙΑΤΑΡΑΧΕΣ ΟΡΑΣΗΣ ΚΑΙ ΠΡΟΣΘΕΤΕΣ ΑΝΑΠΗΡΙΕΣ",-,Σωματείο – Σύλλογος,Β' 6358,,19/11/2028,Γενικός Πληθυσμός,"Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Ενημέρωση/πληροφόρηση,Εργοθεραπεία,Κατασκήνωση,Λογοθεραπεία,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχολογική υποστήριξη",ΣΥΖΩΗ
090100855,ΜΟΝΑΔΑ ΦΡΟΝΤΙΔΑΣ ΗΛΙΚΙΩΜΕΝΩΝ ΑΤΟΜΩΝ,-,Σωματείο – Σύλλογος,Β 7095,,27/12/2028,"Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Εργοθεραπεία,Σίτιση,Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχολογική υποστήριξη",ΜΟΝΑΔΑ ΦΡΟΝΤΙΔΑΣ ΗΛΙΚΙΩΜΕΝΩΝ ΑΤΟΜΩΝ
997357442,ΣΥΛΛΟΓΟΣ ΤΡΙΤΕΚΝΩΝ ΝΟΜΟΥ ΛΑΡΙΣΑΣ,-,Σωματείο – Σύλλογος,Β' 6358,,19/11/2028,Γενικός Πληθυσμός,"Αιμοδοσία,Ενημέρωση/πληροφόρηση,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Υλική βοήθεια (είδος και χρήμα)",ΣΥΛΛΟΓΟΣ ΤΡΙΤΕΚΝΩΝ ΝΟΜΟΥ ΛΑΡΙΣΑΣ
999129637,ΑΜΑΛΘΕΙΑ,-,Αστική μη Κερδοσκοπική Εταιρεία,B4769,,20/08/2028,"Κάτω των 5 ετών, Μεταξύ 6 - 12 ετών, Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών, Μεταξύ 66 - 80 ετών","Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Επαγγελματικός προσανατολισμός,Εργοθεραπεία,Λογοθεραπεία,Παιδαγωγικές δραστηριότητες,Προληπτική ιατρική παρακολούθηση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Φαρμακευτική φροντίδα,Φροντίδα – δημιουργική απασχόληση (Κ.Δ.Α.Π. Α.μεΑ. & βρεφονηπιακοί σταθμοί & κ.α.),Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","Σ.Υ.Δ ""ΘΕΤΙΣ"",Σ.Υ.Δ ""ΦΑΙΔΩΝ"",ΑΡΕΘΟΥΣΑ,ΑΜΑΛΘΕΙΑ"
999086160,ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΝΟΣΟΥ ALZHEIMER ΚΑΙ ΣΥΝΑΦΩΝ ΔΙΑΤΑΡΑΧΩΝ ΝΟΜΟΥ ΛΑΡΙΣΑΣ,-,Άλλο (ΝΠΙΔ Μη Κερδοσκοπικό),Β΄1378,,21/03/2029,"Μεταξύ 46 - 65 ετών, Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Εκπαίδευση εθελοντών,Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Συμβουλευτική στήριξη,Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχολογική υποστήριξη",
090017795,ΧΡΙΣΤΙΑΝΙΚΗ ΕΣΤΙΑ- ΑΝΑΜΟΡΦΩΤΙΚΗ ΟΡΓΑΝΩΣΗ ΠΑΤΡΩΝ,-,Σωματείο – Σύλλογος,Β΄2523,,22/05/2029,"Γενικός Πληθυσμός, Μεταξύ 6 - 12 ετών, Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών, Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Αιμοδοσία,Διανυκτέρευση,Κατασκήνωση,Παιδαγωγικές δραστηριότητες,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Υλική βοήθεια (είδος και χρήμα),Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχολογική υποστήριξη","""Η ΑΓΙΑ ΣΚΕΠΗ"""
997785960,Σωματείο Ατόμων με Αναπηρία Περιφερειακής Ενότητας Δράμας,-,Σωματείο – Σύλλογος,Β΄ 1236,,13/03/2029,Γενικός Πληθυσμός,"Ενημέρωση/πληροφόρηση,Συμβουλευτική στήριξη",ΣΩΜΑΤΕΙΟ ΑΜΕΑ ΠΕ ΔΡΑΜΑΣ
999039240,ΙΔΡΥΜΑ ΠΕΡΙΘΑΛΨΕΩΣ ΑΤΟΜΩΝ ΜΕ ΝΟΗΤΙΚΗ ΥΣΤΕΡΗΣΗ Ή ΣΥΝΔΡΟΜΟ DOWN ‘’ΜΑΡΙΑ ΚΟΚΚΟΡΗ’’ ΤΗΣ ΙΕΡΑΣ ΑΡΧΙΕΠΙΣΚΟΠΗΣ ΑΘΗΝΩΝ,"ΙΔΡΥΜΑ ""ΜΑΡΙΑ ΚΟΚΚΟΡΗ""",Ίδρυμα,Β΄5924,,24/10/2028,"Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών","Διανυκτέρευση,Εκπαίδευση εθελοντών,Ενημέρωση/πληροφόρηση,Εργοθεραπεία,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα – δημιουργική απασχόληση (Κ.Δ.Α.Π. Α.μεΑ. & βρεφονηπιακοί σταθμοί & κ.α.),Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","ΣΤΕΓΕΣ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗΣ ΔΙΑΒΙΩΣΗΣ (ΣΥΔ) ""ΜΑΡΙΑ ΚΟΚΚΟΡΗ 1 "",ΣΤΕΓΕΣ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗΣ ΔΙΑΒΙΩΣΗΣ (ΣΥΔ) ""ΜΑΡΙΑ ΚΟΚΚΟΡΗ 2 "",ΣΤΕΓΕΣ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗΣ ΔΙΑΒΙΩΣΗΣ (ΣΥΔ) ""ΜΑΡΙΑ ΚΟΚΚΟΡΗ 3 "",ΣΤΕΓΕΣ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗΣ ΔΙΑΒΙΩΣΗΣ (ΣΥΔ) ""ΤΟ ΨΑΡΑΥΤΕΙΟ 1 "",ΣΤΕΓΕΣ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗΣ ΔΙΑΒΙΩΣΗΣ (ΣΥΔ) ""ΤΟ ΨΑΡΑΥΤΕΙΟ 2 "",ΣΤΕΓΕΣ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗΣ ΔΙΑΒΙΩΣΗΣ (ΣΥΔ) ""ΑΘΑΝΑΣΙΟΣ ΜΑΡΤΙΝΟΣ 1 "",ΣΤΕΓΕΣ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗΣ ΔΙΑΒΙΩΣΗΣ (ΣΥΔ) ""ΑΘΑΝΑΣΙΟΣ ΜΑΡΤΙΝΟΣ 2 "",ΣΤΕΓΕΣ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗΣ ΔΙΑΒΙΩΣΗΣ (ΣΥΔ) ""ΒΑΣΙΛΙΚΗ ΤΖΕΡΜΠΗ 1 "",ΣΤΕΓΕΣ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗΣ ΔΙΑΒΙΩΣΗΣ (ΣΥΔ) ""ΒΑΣΙΛΙΚΗ ΤΖΕΡΜΠΗ 2 "",Κ.Δ.ΑΠ. ΑΜΕΑ ""ΝΙΚΟΔΗΜΟΣ ΓΡΑΙΚΟΣ"""
090056890,ΦΙΛΟΠΤΩΧΟΣ ΑΔΕΛΦΟΤΗΣ ΚΥΡΙΩΝ ΒΕΡΟΙΑΣ,-,Άλλο (ΝΠΙΔ Μη Κερδοσκοπικό),Β΄ 1236,,13/03/2029,Γενικός Πληθυσμός,"Σίτιση,Υλική βοήθεια (είδος και χρήμα)",ΦΙΛΟΠΤΩΧΟΣ ΚΥΡΙΩΝ ΒΕΡΟΙΑΣ
997138165,"ΑΓΚΑΛΙΑ-ΣΥΛΛΟΓΟΣ ΓΟΝΕΩΝ,ΚΗΔΕΜΟΝΩΝ ΚΑΙ ΦΙΛΩΝ ΑΤΟΜΩΝ ΜΕ ΑΝΑΠΗΡΙΑ",-,Σωματείο – Σύλλογος,Β' 556,,06/02/2030,"Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών","Διαπολιτισμική διαμεσολάβηση,Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Εργοθεραπεία,Λογοθεραπεία,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Υλική βοήθεια (είδος και χρήμα),Φροντίδα – δημιουργική απασχόληση (Κ.Δ.Α.Π. Α.μεΑ. & βρεφονηπιακοί σταθμοί & κ.α.),Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη",αγκαλιά
099273574,"ΜΦΗ-ΜΚ ΑΓΑΠΗΣ ΜΕΛΑΘΡΟΝ ""Ο ΑΓΙΟΣ ΧΑΡΑΛΑΜΠΟΣ"" ΕΝ ΑΙΓΙΩ",-,Άλλο (ΝΠΙΔ Μη Κερδοσκοπικό),Β΄2755,,04/06/2029,"Μεταξύ 46 - 65 ετών, Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Διανυκτέρευση,Ενημέρωση/πληροφόρηση,Εργοθεραπεία,Προληπτική ιατρική παρακολούθηση,Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Υλική βοήθεια (είδος και χρήμα),Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","ΜΦΗ-ΜΚ ΑΓΑΠΗΣ ΜΕΛΑΘΡΟΝ ""Ο ΑΓΙΟΣ ΧΑΡΑΛΑΜΠΟΣ"""
800140613,"ΚΑΛΛΙΜΑΝΟΠΟΥΛΕΙΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΔΙΑΚΟΝΙΚΟ ΚΕΝΤΡΟ ",-,Άλλο (ΝΠΙΔ Μη Κερδοσκοπικό),Β 643,,17/02/2029,"Μεταξύ 46 - 65 ετών, Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Διανυκτέρευση,Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Ενημέρωση/πληροφόρηση,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","ΚΑΛΛΙΜΑΝΟΠΟΥΛΕΙΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΔΙΑΚΟΝΙΚΟ ΚΕΝΤΡΟ,ΝΕΑ ΜΟΝΑΔΑ  Κ.ΕΔ.ΙΚ. - ΠΑΡΑΡΤΗΜΑ"
090060830,"ΘΕΡΑΠΕΥΤΙΚΟ ΠΑΙΔΑΓΩΓΙΚΟ ΚΕΝΤΡΟ ΠΑΤΡΩΝ ΑΤΟΜΩΝ ΜΕ ΝΟΗΤΙΚΗ ΥΣΤΕΡΗΣΗ ""Η ΜΕΡΙΜΝΑ"""," ",Ίδρυμα,Β' 6358,,19/11/2028,"Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 66 - 80 ετών","Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Ενημέρωση/πληροφόρηση,Επαγγελματική κατάρτιση,Εργοθεραπεία,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Τοποθέτηση σε θέσεις εργασίας,Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα – δημιουργική απασχόληση (Κ.Δ.Α.Π. Α.μεΑ. & βρεφονηπιακοί σταθμοί & κ.α.),Φυσικοθεραπεία,Ψυχολογική υποστήριξη","ΚΔΑΠμεΑ Η ΜΕΡΙΜΝΑ,ΚΔΗΦ Η ΜΕΡΙΜΝΑ,Θ.Π.Κ. Η ΜΕΡΙΜΝΑ-ΞΕΝΩΝΑΣ"
